make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Seat Mii,Seat,DE,6800,Compact,Used,3.0,99800.0,Manual,Benzin,Dealer,44.0,5.0,Other,7.0,Standart,Low,standard
Seat Ibiza,Seat,DE,25370,Compact,Pre-registered,5.0,15.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,1.0,Upgrated,Low,standard
Seat Ibiza,Seat,DE,17890,Compact,Used,5.0,41079.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,2.0,Upgrated,Low,standard
Seat Mii,Seat,DE,6980,Compact,Used,5.0,62596.0,Manual,Benzin,Dealer,55.0,5.0,Other,10.0,Standart,Low,standard
Seat Ibiza,Seat,ES,13950,Compact,Used,5.0,15169.0,Manual,LPG/CNG,Dealer,66.0,5.0,Euro 6,1.0,Standart,Low,standard
Seat Leon,Seat,ES,17700,Compact,Used,5.0,56278.0,Manual,Benzin,Dealer,92.0,6.0,Euro 6,4.0,Standart,Low,standard
Seat Ibiza,Seat,DE,14900,Compact,Used,5.0,56363.0,Manual,Benzin,Dealer,85.0,6.0,Euro 6,4.0,Upgrated,Low,standard
Seat Leon,Seat,ES,22000,Compact,Pre-registered,5.0,2869.0,Automatic,LPG/CNG,Dealer,96.0,6.0,Euro 6,1.0,Standart,Low,luxury
Seat Mii,Seat,DE,6900,Compact,Used,3.0,62886.0,Manual,Benzin,Dealer,44.0,5.0,Other,6.0,Standart,Low,standard
Seat Leon,Seat,ES,20400,Compact,Pre-registered,5.0,540.0,Manual,LPG/CNG,Dealer,96.0,6.0,Euro 6,0.0,Standart,Low,standard
Seat Ibiza,Seat,DE,18450,Compact,Used,5.0,21979.0,Manual,Benzin,Dealer,85.0,6.0,Euro 6,3.0,Upgrated,Low,standard
Seat Leon,Seat,ES,17900,Compact,Used,5.0,62000.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,4.0,Standart,Low,standard
Seat Ibiza,Seat,DE,14970,Compact,Used,5.0,39266.0,Manual,Diesel,Dealer,70.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,20900,Compact,Used,5.0,18608.0,Automatic,Benzin,Dealer,85.0,6.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,26980,Compact,Pre-registered,5.0,10.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,0.0,Upgrated,Low,standard
Seat Ibiza,Seat,ES,13650,Compact,Used,5.0,57589.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,3.0,Standart,Low,standard
Seat Ibiza,Seat,DE,13730,Compact,Used,5.0,19836.0,Manual,Benzin,Dealer,59.0,5.0,Euro 6,2.0,Standart,Low,standard
